Daily Holdings (%)  07/01/2026;;;;;;;;
;;;;;;;;
Number;Ticker;Holding Name;Identifier (FIGI);Shares;Asset Class;Market Value (US$);Notional Value;% of Net Assets
1;NVDA;Nvidia Corp;BBG000BBJQV0;67,132,346;Stock;$13,264,008,922.68;--;18.41%
2;TSM;Taiwan Semiconductor Manufacturing Co L;BBG000BD8ZK0;14,889,948;Stock;$6,614,561,600.04;--;9.18%
3;AMD;Advanced Micro Devices Inc;BBG000BBQCY0;7,418,187;Stock;$4,012,348,984.56;--;5.57%
4;AMAT;Applied Materials Inc;BBG000BBPFB9;6,077,118;Stock;$3,955,656,877.38;--;5.49%
5;AVGO;Broadcom Inc;BBG00KHY5S69;10,700,777;Stock;$3,952,224,977.18;--;5.49%
6;MU;Micron Technology Inc;BBG000C5Z1S3;3,762,838;Stock;$3,884,302,410.64;--;5.39%
7;KLAC;Kla Corp;BBG000BMTFR4;13,802,186;Stock;$3,674,003,891.34;--;5.10%
8;LRCX;Lam Research Corp;BBG000BNFLM9;9,159,847;Stock;$3,583,881,737.22;--;4.97%
9;ASML;Asml Holding Nv;BBG000K6MRN4;1,939,606;Stock;$3,574,771,442.24;--;4.96%
10;INTC;Intel Corp;BBG000C0G1D1;27,912,003;Stock;$3,545,382,621.06;--;4.92%
11;MRVL;Marvell Technology Inc;BBG00ZXBJ153;11,985,054;Stock;$3,260,533,940.70;--;4.53%
12;TXN;Texas Instruments Inc;BBG000BVV7G1;10,710,296;Stock;$3,196,059,429.36;--;4.44%
13;ADI;Analog Devices Inc;BBG000BB6G37;7,709,527;Stock;$2,998,851,812.46;--;4.16%
14;QCOM;Qualcomm Inc;BBG000CGC1X8;15,483,836;Stock;$2,816,819,445.12;--;3.91%
15;CDNS;Cadence Design Systems Inc;BBG000C13CD9;4,386,021;Stock;$1,656,731,712.33;--;2.30%
16;SNPS;Synopsys Inc;BBG000BSFRF3;3,075,477;Stock;$1,397,896,560.81;--;1.94%
17;TER;Teradyne Inc;BBG000BV4DR6;2,366,409;Stock;$1,011,261,222.06;--;1.40%
18;STM;Stmicroelectronics Nv;BBG000BD4GX2;12,881,054;Stock;$910,948,138.88;--;1.26%
19;MPWR;Monolithic Power Systems Inc;BBG000C30L48;675,162;Stock;$899,133,490.26;--;1.25%
20;NXPI;Nxp Semiconductors Nv;BBG000BND699;3,122,625;Stock;$871,774,447.50;--;1.21%
21;ALAB;Astera Labs Inc;BBG00TDKHW99;2,019,050;Stock;$869,927,883.00;--;1.21%
22;ARM;Arm Holdings Plc;BBG01J1GXZF0;2,516,244;Stock;$849,156,862.68;--;1.18%
23;MCHP;Microchip Technology Inc;BBG000BHCP19;7,538,747;Stock;$668,611,471.43;--;0.93%
24;ON;On Semiconductor Corp;BBG000DV7MX4;4,682,555;Stock;$443,110,179.65;--;0.62%
25;SWKS;Skyworks Solutions Inc;BBG000KLB4Q1;1,797,082;Stock;$118,481,616.26;--;0.16%
26;-USD CASH-;;;-6,190,625;Cash Bal;$-6,190,625.05;--;-0.01%
27;--;Other/Cash;--;--;Cash;$18,703,181.00;--;0.03%
These are not recommendations to buy or to sell any security. Securities and holdings may vary.;;;;;;;;
