Fund Name:;State Street® SPDR® S&P® Biotech ETF;;;;;;;;;;
Ticker Symbol:;XBI;;;;;;;;;;
Holdings:;As of 01-Jul-2026;;;;;;;;;;
;;;;;;;;;;;
Name;Ticker;Identifier;SEDOL;Weight;Sector;Shares Held;Local Currency;;;;
APOGEE THERAPEUTICS INC;APGE;03770N101;BM9HHL5;1,505036;-;1208114,000;USD;;;;
MODERNA INC;MRNA;60770K107;BGSXTS3;1,478125;-;2172872,000;USD;;;;
TWIST BIOSCIENCE CORP;TWST;90184D100;BGKG6G7;1,414673;-;1474531,000;USD;;;;
KYMERA THERAPEUTICS INC;KYMR;501575104;BMPRZV5;1,368822;-;1277444,000;USD;;;;
ORUKA THERAPEUTICS INC;ORKA;687604108;BKVF0J2;1,366171;-;1560742,000;USD;;;;
VIKING THERAPEUTICS INC;VKTX;92686J106;BQQG1V1;1,266453;-;3601228,000;USD;;;;
ERASCA INC;ERAS;29479A108;BNLYBF3;1,256802;-;7474635,000;USD;;;;
PRAXIS PRECISION MEDICINES I;PRAX;74006W207;BQ721R4;1,245297;-;415267,000;USD;;;;
REVOLUTION MEDICINES INC;RVMD;76155X100;BL71K91;1,219347;-;693049,000;USD;;;;
CG ONCOLOGY INC;CGON;156944100;BRBCSP4;1,210334;-;1819622,000;USD;;;;
RHYTHM PHARMACEUTICALS INC;RYTM;76243J105;BF2YWG4;1,207892;-;1165952,000;USD;;;;
MIRUM PHARMACEUTICALS INC;MIRM;604749101;BJDX8Y8;1,201607;-;1063116,000;USD;;;;
NATERA INC;NTRA;632307104;BYQRG48;1,196667;-;461637,000;USD;;;;
CYTOKINETICS INC;CYTK;23282W605;BBBSBJ5;1,191941;-;1489946,000;USD;;;;
VAXCYTE INC;PCVX;92243G108;BKPVGH6;1,157741;-;2200212,000;USD;;;;
ROIVANT SCIENCES LTD;ROIV;G76279101;BMW4NZ9;1,156173;-;3517578,000;USD;;;;
COGENT BIOSCIENCES INC;COGT;19240Q201;BLR6XK8;1,149849;-;3184689,000;USD;;;;
TRAVERE THERAPEUTICS INC;TVTX;89422G107;BLFGJD5;1,130219;-;2137995,000;USD;;;;
SCHOLAR ROCK HOLDING CORP;SRRK;80706P103;BFZQ0L8;1,123751;-;2266566,000;USD;;;;
ULTRAGENYX PHARMACEUTICAL IN;RARE;90400D108;BJ62Z18;1,118174;-;3680388,000;USD;;;;
KRYSTAL BIOTECH INC;KRYS;501147102;BD6JX35;1,115409;-;319921,000;USD;;;;
CELCUITY INC;CELC;15102K100;BDH6M05;1,110328;-;1132499,000;USD;;;;
SPYRE THERAPEUTICS INC;SYRE;00773J202;BQBBDY8;1,110057;-;1330925,000;USD;;;;
PROTAGONIST THERAPEUTICS INC;PTGX;74366E102;BDCBCD8;1,109676;-;944837,000;USD;;;;
DIANTHUS THERAPEUTICS INC;DNTH;252828108;BN4J951;1,106902;-;1307723,000;USD;;;;
ALKERMES PLC;ALKS;G01767105;B3P6D26;1,106240;-;2279565,000;USD;;;;
INSMED INC;INSM;457669307;2614487;1,092047;-;1087724,000;USD;;;;
IMMUNITYBIO INC;IBRX;45256X103;BNSP0B8;1,082675;-;12542130,000;USD;;;;
SELLAS LIFE SCIENCES GROUP I;SLS;81642T209;BG0WPH9;1,081586;-;8686630,000;USD;;;;
TG THERAPEUTICS INC;TGTX;88322Q108;B828K63;1,076460;-;2143595,000;USD;;;;
VERTEX PHARMACEUTICALS INC;VRTX;92532F100;2931034;1,071543;-;229315,000;USD;;;;
ARROWHEAD PHARMACEUTICALS IN;ARWR;04280A100;BYQBFJ8;1,066313;-;1412777,000;USD;;;;
VERA THERAPEUTICS INC;VERA;92337R101;BL55460;1,064717;-;2659957,000;USD;;;;
BEAM THERAPEUTICS INC;BEAM;07373V105;BK6L288;1,064538;-;3388730,000;USD;;;;
CRISPR THERAPEUTICS AG;CRSP;H17182108;BDHF4K6;1,054869;-;2021290,000;USD;;;;
RELAY THERAPEUTICS INC;RLAY;75943R102;BN2R582;1,054496;-;6327951,000;USD;;;;
ABBVIE INC;ABBV;00287Y109;B92SR70;1,046471;-;444233,000;USD;;;;
PTC THERAPEUTICS INC;PTCT;69366J200;B17VCN9;1,039981;-;1362476,000;USD;;;;
BRIDGEBIO PHARMA INC;BBIO;10806X102;BK1KWG8;1,036680;-;1482631,000;USD;;;;
HALOZYME THERAPEUTICS INC;HALO;40637H109;2975098;1,024306;-;1417568,000;USD;;;;
MADRIGAL PHARMACEUTICALS INC;MDGL;558868105;BD59BS7;1,023366;-;212031,000;USD;;;;
UNIQURE NV;QURE;N90064101;BJFSR88;1,019390;-;2405201,000;USD;;;;
IONIS PHARMACEUTICALS INC;IONS;462222100;BDJ0LS6;1,012773;-;1363022,000;USD;;;;
INCYTE CORP;INCY;45337C102;2471950;1,012772;-;948402,000;USD;;;;
BIOGEN INC;BIIB;09062X103;2455965;1,012418;-;514446,000;USD;;;;
SUMMIT THERAPEUTICS INC;SMMT;86627T108;BMTVQS7;1,009336;-;7480627,000;USD;;;;
AMGEN INC;AMGN;031162100;2023607;1,003381;-;295953,000;USD;;;;
NEUROCRINE BIOSCIENCES INC;NBIX;64125C109;2623911;0,977950;-;621246,000;USD;;;;
REGENERON PHARMACEUTICALS;REGN;75886F107;2730190;0,973513;-;166080,000;USD;;;;
GILEAD SCIENCES INC;GILD;375558103;2369174;0,972279;-;822593,000;USD;;;;
ALNYLAM PHARMACEUTICALS INC;ALNY;02043Q107;B00FWN1;0,971295;-;343147,000;USD;;;;
BIOMARIN PHARMACEUTICAL INC;BMRN;09061G101;2437071;0,965258;-;1779207,000;USD;;;;
EXELIXIS INC;EXEL;30161Q104;2576941;0,962370;-;1900778,000;USD;;;;
ACADIA PHARMACEUTICALS INC;ACAD;004225108;2713317;0,943875;-;3991857,000;USD;;;;
UNITED THERAPEUTICS CORP;UTHR;91307C102;2430412;0,943221;-;183725,000;USD;;;;
NUVALENT INC A;NUVL;670703107;BMVBZD3;0,939625;-;810209,000;USD;;;;
INTELLIA THERAPEUTICS INC;NTLA;45826J105;BYZM6C2;0,934610;-;5777693,000;USD;;;;
IMMUNOVANT INC;IMVT;45258J102;BJRFSB7;0,925460;-;2586056,000;USD;;;;
GRAIL INC;GRAL;384747101;BSLSSX7;0,914381;-;1430795,000;USD;;;;
CATALYST PHARMACEUTICALS INC;CPRX;14888U101;B1G7Q03;0,883892;-;2996247,000;USD;;;;
BIOCRYST PHARMACEUTICALS INC;BCRX;09058V103;2100362;0,870790;-;9617169,000;USD;;;;
DYNE THERAPEUTICS INC;DYN;26818M108;BN15WD1;0,852077;-;4167568,000;USD;;;;
DENALI THERAPEUTICS INC;DNLI;24823R105;BD2B4V0;0,850348;-;3488337,000;USD;;;;
VERACYTE INC;VCYT;92337F107;BFTWZY0;0,843468;-;1501984,000;USD;;;;
IDEAYA BIOSCIENCES INC;IDYA;45166A102;BK0VHF6;0,788358;-;2322931,000;USD;;;;
TANGO THERAPEUTICS INC;TNGX;87583X109;BP2P6L0;0,782217;-;2901701,000;USD;;;;
RECURSION PHARMACEUTICALS A;RXRX;75629V104;BM9FJ13;0,765124;-;22219122,000;USD;;;;
SAREPTA THERAPEUTICS INC;SRPT;803607100;B8DPDT7;0,764584;-;4477287,000;USD;;;;
MINERALYS THERAPEUTICS INC;MLYS;603170101;BP9N0G0;0,714324;-;2831168,000;USD;;;;
ARCUTIS BIOTHERAPEUTICS INC;ARQT;03969K108;BKX9VD3;0,709152;-;2924879,000;USD;;;;
ARCUS BIOSCIENCES INC;RCUS;03969F109;BDZT9Y9;0,704797;-;2597328,000;USD;;;;
CELLDEX THERAPEUTICS INC;CLDX;15117B202;BJLV8T9;0,701790;-;2033557,000;USD;;;;
AGIOS PHARMACEUTICALS INC;AGIO;00847X104;BCBVTX1;0,700254;-;2012691,000;USD;;;;
SYNDAX PHARMACEUTICALS INC;SNDX;87164F105;BN7Q7R7;0,694081;-;3541057,000;USD;;;;
VIRIDIAN THERAPEUTICS INC;VRDN;92790C104;BMDH2B6;0,682852;-;3938090,000;USD;;;;
DISC MEDICINE INC;IRON;254604101;BMGJZJ8;0,676620;-;962131,000;USD;;;;
NOVAVAX INC;NVAX;670002401;BJDQXG4;0,670792;-;7557152,000;USD;;;;
ADMA BIOLOGICS INC;ADMA;000899104;B9NSBM2;0,631908;-;7821892,000;USD;;;;
IMMUNOME INC;IMNM;45257U108;BM8FWX7;0,605531;-;3003038,000;USD;;;;
BIOHAVEN LTD;BHVN;G1110E107;BPLZ7S5;0,562647;-;3804881,000;USD;;;;
NURIX THERAPEUTICS INC;NRIX;67080M103;BMVLGP2;0,553792;-;2468471,000;USD;;;;
IOVANCE BIOTHERAPEUTICS INC;IOVA;462260100;BF0DMK7;0,541895;-;14547412,000;USD;;;;
ABSCI CORP;ABSI;00091E109;BN94K69;0,541090;-;5190584,000;USD;;;;
PALVELLA THERAPEUTICS INC;PVLA;697947109;BTCG280;0,532131;-;410188,000;USD;;;;
KODIAK SCIENCES INC;KOD;50015M109;BFXC933;0,524402;-;1500776,000;USD;;;;
VERICEL CORP;VCEL;92346J108;BSBMN89;0,507831;-;1198733,000;USD;;;;
HYPERLIQUID STRATEGIES;PURR;44916Y106;BVLJ392;0,489395;-;6352980,000;USD;;;;
STOKE THERAPEUTICS INC;STOK;86150R107;BJQ05Z6;0,484745;-;1579405,000;USD;;;;
ANAPTYSBIO INC;ANAB;032724106;BDRW1L7;0,484717;-;789537,000;USD;;;;
MONTE ROSA THERAPEUTICS INC;GLUE;61225M102;BP7KZP7;0,478152;-;2121553,000;USD;;;;
CAPRICOR THERAPEUTICS INC;CAPR;14070B309;BK7Y2Z3;0,473256;-;2186299,000;USD;;;;
VIR BIOTECHNOLOGY INC;VIR;92764N102;BK4PZ38;0,445255;-;4963775,000;USD;;;;
CORVUS PHARMACEUTICALS INC;CRVS;221015100;BYP80F1;0,407511;-;2942484,000;USD;;;;
CULLINAN THERAPEUTICS INC;CGEM;230031106;BM90J52;0,386930;-;2386435,000;USD;;;;
TYRA BIOSCIENCES INC;TYRA;90240B106;BMVNDH9;0,385650;-;1397526,000;USD;;;;
ARDELYX INC;ARDX;039697107;BN89V40;0,360419;-;7444221,000;USD;;;;
INHIBRX BIOSCIENCES INC;INBX;45720N103;BNSP8K3;0,358560;-;402507,000;USD;;;;
ZENAS BIOPHARMA INC;ZBIO;98937L105;BQB42H3;0,355827;-;1354386,000;USD;;;;
PRECIGEN INC;PGEN;74017N105;BKM5C84;0,350326;-;7111716,000;USD;;;;
TAYSHA GENE THERAPIES INC;TSHA;877619106;BNC1BX1;0,348561;-;5586218,000;USD;;;;
ORIC PHARMACEUTICALS INC;ORIC;68622P109;BKVDFF7;0,334881;-;3277354,000;USD;;;;
AVALO THERAPEUTICS INC;AVTX;05338F306;BSKSFB5;0,330463;-;2036992,000;USD;;;;
ANNEXON INC;ANNX;03589W102;BMVV9R5;0,325830;-;6256905,000;USD;;;;
MANNKIND CORP;MNKD;56400P706;BF081J4;0,324887;-;8549447,000;USD;;;;
KURA ONCOLOGY INC;KURA;50127T109;BYZD465;0,315290;-;3117117,000;USD;;;;
JADE BIOSCIENCES INC;JBIO;008064206;BVDFZW5;0,314994;-;1539243,000;USD;;;;
CAREDX INC;CDNA;14167L103;BP3YM74;0,314956;-;1147587,000;USD;;;;
OLEMA PHARMACEUTICALS INC;OLMA;68062P106;BMZ4LN0;0,309095;-;2727003,000;USD;;;;
VOR BIOPHARMA INC;VOR;929033207;BRJJYT3;0,304172;-;1762783,000;USD;;;;
BICARA THERAPEUTICS INC;BCAX;055477103;BQB42F1;0,298548;-;1100593,000;USD;;;;
REPLIMUNE GROUP INC;REPL;76029N106;BDDVW37;0,291053;-;2764652,000;USD;;;;
ARRIVENT BIOPHARMA INC;AVBP;04272N102;BMGTLY5;0,286053;-;883666,000;USD;;;;
XENCOR INC;XNCR;98401F105;BGCYWN8;0,280948;-;1946840,000;USD;;;;
CYTOMX THERAPEUTICS INC;CTMX;23284F105;BYWVTY5;0,270014;-;7993659,000;USD;;;;
JANUX THERAPEUTICS INC;JANX;47103J105;BMFX8Y7;0,266252;-;1935621,000;USD;;;;
GERON CORP;GERN;374163103;2370381;0,260940;-;21897677,000;USD;;;;
SIONNA THERAPEUTICS INC;SION;829401108;BQKXDX4;0,253995;-;650094,000;USD;;;;
SOLID BIOSCIENCES INC;SLDB;83422E204;BQHN6C7;0,248053;-;2591819,000;USD;;;;
REGENXBIO INC;RGNX;75901B107;BZ0G875;0,241496;-;1966216,000;USD;;;;
ALLOGENE THERAPEUTICS INC;ALLO;019770106;BFZNYB7;0,241296;-;12187898,000;USD;;;;
ALTIMMUNE INC;ALT;02155H200;BFY7DC4;0,240194;-;8126664,000;USD;;;;
SANA BIOTECHNOLOGY INC;SANA;799566104;BMFJJ97;0,237286;-;7103687,000;USD;;;;
RIGEL PHARMACEUTICALS INC;RIGL;766559702;BQD3J33;0,234508;-;652731,000;USD;;;;
IRONWOOD PHARMACEUTICALS INC;IRWD;46333X108;B3MZ6K5;0,213397;-;5520179,000;USD;;;;
OCUGEN INC;OCGN;67577C105;BK71M09;0,194944;-;14038138,000;USD;;;;
IMMIX BIOPHARMA INC;IMMX;45258H106;BPBLY59;0,194782;-;2111815,000;USD;;;;
4D MOLECULAR THERAPEUTICS IN;FDMT;35104E100;BKLXFX5;0,192246;-;1614569,000;USD;;;;
PRIME MEDICINE INC;PRME;74168J101;BPBJFM7;0,191464;-;5245647,000;USD;;;;
CANDEL THERAPEUTICS INC;CADL;137404109;BP0TQC5;0,188329;-;2031519,000;USD;;;;
SAVARA INC;SVRA;805111101;BYXGN81;0,182405;-;3207939,000;USD;;;;
DAMORA THERAPEUTICS INC;DMRA;36322Q206;BSY4V44;0,182395;-;717571,000;USD;;;;
ARS PHARMACEUTICALS INC;SPRY;82835W108;BMCR7V2;0,171016;-;2295501,000;USD;;;;
MYRIAD GENETICS INC;MYGN;62855J104;2614153;0,170392;-;3026629,000;USD;;;;
MAPLIGHT THERAPEUTICS INC;MPLT;56565P103;BTMJLW6;0,169359;-;500268,000;USD;;;;
ARBUTUS BIOPHARMA CORP;ABUS;03879J100;BZ0QMB7;0,163737;-;3689318,000;USD;;;;
FIRST TRACKS BIOTHERAPEUTICS;TRAX;337185102;BS2CR64;0,162880;-;933793,000;USD;;;;
CABALETTA BIO INC;CABA;12674W109;BK5MWR1;0,148009;-;5275665,000;USD;;;;
COMPASS THERAPEUTICS INC;CMPX;20454B104;BMF7DQ6;0,140425;-;6865117,000;USD;;;;
EMERGENT BIOSOLUTIONS INC;EBS;29089Q105;B1HJLW5;0,133049;-;1712548,000;USD;;;;
PERSPECTIVE THERAPEUTICS INC;CATX;46489V302;BS096W6;0,131522;-;4051211,000;USD;;;;
PROTHENA CORP PLC;PRTA;G72800108;B91XRN2;0,131127;-;1458775,000;USD;;;;
VERASTEM INC;VSTM;92337C203;BRK1S18;0,130861;-;3401643,000;USD;;;;
VANDA PHARMACEUTICALS INC;VNDA;921659108;B12W3P6;0,130573;-;2300169,000;USD;;;;
OVID THERAPEUTICS INC;OVID;690469101;BYPFK63;0,124190;-;4938717,000;USD;;;;
MIMEDX GROUP INC;MDXG;602496101;B1Z3TW5;0,108600;-;2967744,000;USD;;;;
LEXEO THERAPEUTICS INC;LXEO;52886X107;BQ6C357;0,101820;-;2438572,000;USD;;;;
