Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Coupon/ Div yield,Market value
"NXT","Nextpower Inc","1,500,359.00","10.24%","Common Stock","65290E101","--","$174,266,697.85"
"FSLR","First Solar Inc","684,089.00","9.33%","Common Stock","336433107","--","$158,763,375.12"
"ENPH","Enphase Energy Inc","2,512,994.00","6.92%","Common Stock","29355A107","--","$117,708,638.96"
"ENLT","Enlight Renewable Energy Ltd","1,294,325.40","6.61%","Common Stock","M4056D110","--","$112,519,548.34"
"SEDG","SolarEdge Technologies Inc","1,519,934.00","5.00%","Common Stock","83417M104","--","$85,116,304"
"RUN","Sunrun Inc","6,187,104.00","4.77%","Common Stock","86771W105","--","$81,112,933.44"
"DORL","Doral Group Renewable Energy Resources Ltd","2,992,145.00","4.43%","Common Stock","M2841E104","--","$75,359,439.21"
"HASI","HA Sustainable Infrastructure Capital Inc","1,632,823.00","3.71%","Common Stock","41068X100","--","$63,075,952.49"
"NOFR","OY Nofar Energy Ltd","814,065.00","3.66%","Common Stock","M7622L102","--","$62,326,663.91"
"TE","T1 Energy Inc","6,565,453.00","3.54%","Common Stock","35834F104","--","$60,270,858.54"
"3800","GCL Technology Holdings Ltd","630,644,148.00","3.26%","Common Stock","G3774X108","--","$55,399,641.20"
"CWEN","Clearway Energy Inc","1,611,944.00","3.18%","Common Stock","18539C204","--","$54,032,362.88"
"SLR","Solaria Energia y Medio Ambiente SA","2,364,045.00","3.12%","Common Stock","E8935P110","--","$53,127,615.45"
"SHLS","Shoals Technologies Group Inc","5,115,557.00","3.04%","Common Stock","82489W107","--","$51,769,436.84"
"S92","SMA Solar Technology AG","631,465.00","2.55%","Common Stock","D7008K108","--","$43,447,775.60"
"ENRG","Energix-Renewable Energies Ltd","4,715,827.00","2.43%","Common Stock","M4047G115","--","$41,413,717.65"
"968","Xinyi Solar Holdings Ltd","144,855,428.00","2.24%","Common Stock","G9829N102","--","$37,922,786.32"
"ARRY","Array Technologies Inc","5,202,933.00","2.19%","Common Stock","04271T100","--","$37,305,029.61"
"GRE","Grenergy Renovables SA","291,668.00","2.17%","Common Stock","E5R20V102","--","$36,899,858.07"
"CSIQ","Canadian Solar Inc","1,754,189.00","1.61%","Common Stock","136635109","--","$27,453,057.85"
"SCATC","Scatec ASA","2,656,192.00","1.53%","Common Stock","R7562P100","--","$25,964,917.59"
"DQ","Daqo New Energy Corp","1,900,125.00","1.42%","American Depository Receipt","23703Q203","--","$24,131,587.50"
"3576","United Renewable Energy Co Ltd/Taiwan","46,526,458.00","1.41%","Common Stock","Y6247H139","--","$23,935,031.18"
"322000","HD Hyundai Energy Solutions Co Ltd","232,033.00","1.33%","Common Stock","Y3R1F3103","--","$22,622,448.99"
"JKS","JinkoSolar Holding Co Ltd","1,277,021.00","1.33%","American Depository Receipt","47759T100","--","$20,674,969.99"
"6443","TSEC Corp","19,161,000.00","1.20%","Common Stock","Y89777109","--","$20,382,019.97"
"RNW","ReNew Energy Global PLC","2,898,394.00","1.05%","Common Stock","G7500M104","--","$17,912,074.92"
"2406","Gigastorage Corp","13,546,000.00","0.98%","Common Stock","Y2712P102","--","$16,687,846.78"
"1407","West Holdings Corp","1,136,605.00","0.98%","Common Stock","J9509G101","--","$16,672,173.42"
"6865","Flat Glass Group Co Ltd","20,193,242.00","0.96%","Common Stock","Y2575W103","--","$16,397,579.28"
"3868","Xinyi Energy Holdings Ltd","121,505,362.00","0.84%","Common Stock","G9833A104","--","$13,782,793.73"
"6244","Motech Industries Inc","17,116,000.00","0.84%","Common Stock","Y61397108","--","$14,279,779.79"
"CWENE","CW Enerji Muhendislik Ticaret VE Sanayi AS","16,436,604.00","0.80%","Common Stock","M2681T112","--","$13,691,291.63"
"5074","Tess Holdings Co Ltd","2,552,972.00","0.80%","Common Stock","J83207100","--","$13,492,786.74"
"BCPG-R","BCPG PCL","42,671,610.00","0.53%","Generic Receipt","Y0760S119","--","$9,101,615.73"
"JPY","CASH & EQUIVALENTS","11,065,841.00","0.00%","Currency","CASHJPY06","0.00%","$68,137.32"
"NOK","CASH & EQUIVALENTS","5,708.53","0.00%","Currency","--","--","$575.67"
"KRW","CASH & EQUIVALENTS","711,632.00","0.00%","Currency","CASHKRW02","0.00%","$457.49"
"CHF","CASH & EQUIVALENTS","89.87","0.00%","Currency","CASHCHF02","0.00%","$111.18"
"--","SECURITIES LENDING - BNYM","1.00","0.00%","Uninvestible Cash","BNYMLEND","--","$0.01"
"HKD","CASH & EQUIVALENTS","-39,979.07","0.00%","Currency","--","--","-$5,096.93"
"ILS","CASH & EQUIVALENTS","-21,948.65","0.00%","Currency","--","--","-$7,351.26"
"EUR","CASH & EQUIVALENTS","-27,827.08","0.00%","Currency","CASHEUR08","0.00%","-$31,704.82"
"USD","CASH & EQUIVALENTS","-41,409.27","0.00%","Currency","CASHUSD00","0.00%","-$41,409.27"

# as of 2026-07-01
