QTUM;;;;;
07/02/2026;;;;;
% of Net Assets;Name;Identifier;CUSIP;Shares Held;Market Value
;;;;;
2.47%;Horizon Quantum Holdings LTD;HQ;Y4000A102;5563494;150381242,8
2.40%;Arqit Quantum Inc;ARQQ;G0567U127;5081219;146593168,2
1.54%;Quantinuum Inc;QNT;74768A104;1200176;94105800,16
1.43%;Applied Materials Inc;AMAT;038222105;133826;87108681,66
1.42%;Astera Labs Inc;ALAB;04626A103;201028;86614924,08
1.42%;MKS Inc;MKSI;55306N104;210440;86501362
1.42%;Onto Innovation Inc;ONTO;683344105;246958;86771162,88
1.39%;BTQ Technologies Corp;BTQ;055869101;15950411;84537178,3
1.37%;Tokyo Electron Ltd;8035 JT;6895675;172400;83649641,33
1.36%;KLA CORP;KLAC;482480100;311445;82903544,55
1.35%;Global Unichip Corp;3443 TT;B056381;519991;82293575,35
1.34%;Teradyne Inc;TER;880770102;191355;81773645,7
1.33%;Lam Research Corp;LRCX;512807306;206690;80869529,4
1.30%;Advanced Micro Devices Inc;AMD;007903107;147021;79520718,48
1.29%;Intel Corp;INTC;458140100;621386;78928449,72
1.28%;Renesas Electronics Corp;6723 JP;6635677;2477658;78156718,91
1.26%;Micron Technology Inc;MU;595112103;74577;76984345,56
1.23%;RadNet Inc;RDNT;750491102;1143622;75044475,64
1.22%;AIRBUS GROUP SE;AIR FP;4012250;329073;74318780,05
1.22%;Cloudflare Inc;NET;18915M107;302784;74578727,04
1.21%;Lattice Semiconductor Corp;LSCC;518415104;502481;73512970,3
1.20%;ARM Holdings PLC;ARM;042068205;216353;73012646,91
1.19%;Snowflake Inc;SNOW;833445109;277254;72415972,26
1.19%;Taiwan Semiconductor Manufacturing Co Ltd;TSM;874039100;162723;72286438,29
1.18%;Alchip Technologies Ltd;3661 TT;B4TPSL0;517102;72184701,05
1.18%;ASM International NV;ASM NA;5165294;63505;71848220,9
1.18%;Nebius Group NV;NBIS;N97284108;314197;72007668,46
1.18%;RTX Corp;RTX;75513E101;374906;71899472,68
1.17%;Mitsubishi Electric Corp;6503 JP;6597045;1915811;71180096,51
1.17%;ABB Ltd;ABBN SW;7108899;666719;71080402,57
1.17%;MARVELL TECHNOLOGY INC;MRVL;573874104;263322;71636750,1
1.17%;Quantum Emotion Corp;QNC;74767K103;24011984;71555712,32
1.16%;ASML Holding NV;ASML;N07059210;38353;70686113,12
1.15%;International Business Machines Corp;IBM;459200101;244206;69903967,5
1.15%;Tower Semiconductor Ltd;TSEM;M87915274;284805;69908235,3
1.15%;Texas Instruments Inc;TXN;882508104;235853;70380893,73
1.14%;Teradata Corp;TDC;88076W103;2011280;69308708,8
1.13%;Coherent Corp;COHR;19247G107;187484;69115976,6
1.13%;MongoDB Inc;MDB;60937P106;190973;68631876,74
1.12%;MediaTek Inc;2454 TT;6372480;502284;68304195,37
1.12%;Infineon Technologies AG;IFX GR;5889505;766772;68055394,05
1.12%;Nutanix Inc;NTNX;67059N108;1339373;68575897,6
1.11%;Amazon.com Inc;AMZN;023135106;279468;67547415,6
1.11%;Alphabet Inc;GOOGL;02079K305;186633;67413705,93
1.10%;Microchip Technology Inc;MCHP;595017104;756602;67103031,38
1.10%;NVE Corp;NVEC;629445206;635270;67319561,9
1.10%;D-Wave Quantum Inc;QBTS;26740W109;2860784;67228424
1.10%;Xanadu Quantum Technologies Ltd;XNDU;98390R102;5655882;67022201,7
1.09%;Baidu Inc;BIDU;056752108;566162;66773146,28
1.09%;STMicroelectronics NV;STM;861012102;940246;66494197,12
1.08%;Analog Devices Inc;ADI;032654105;169386;65887766,28
1.08%;Broadcom Inc;AVGO;11135F101;178751;66019894,34
1.08%;Lockheed Martin Corp;LMT;539830109;126682;66105201,24
1.08%;Quantum Computing Inc;QUBT;74766W108;6979349;65815261,07
1.08%;Synopsys Inc;SNPS;871607107;144425;65645495,25
1.07%;NEC Corp;6701 JP;6640400;2662205;65258077,68
1.07%;Cadence Design Systems Inc;CDNS;127387108;172702;65234726,46
1.07%;Cisco Systems Inc;CSCO;17275R102;559871;65510505,71
1.07%;NVIDIA Corp;NVDA;67066G104;331870;65570874,6
1.07%;NXP Semiconductors NV;NXPI;N6596X109;232920;65026605,6
1.05%;Elastic NV;ESTC;N14506104;1094323;63963179,35
1.05%;Hewlett Packard Enterprise Co;HPE;42824C109;1462148;64261404,6
1.05%;Microsoft Corp;MSFT;594918104;167384;64322323,52
1.05%;Northrop Grumman Corp;NOC;666807102;122683;63789025,85
1.05%;Nokia Oyj;NOK;654902204;4963668;64080953,88
1.05%;Palantir Technologies Inc;PLTR;69608A108;510817;64225021,41
1.05%;Rigetti Computing Inc;RGTI;76655K103;3420579;63896415,72
1.04%;Fujitsu Ltd;6702 JP;6356945;3174830;63279607,83
1.04%;Infleqtion Inc;INFQ;45676K103;4897881;63329601,33
1.04%;QUALCOMM Inc;QCOM;747525103;347872;63284874,24
1.03%;NTT Inc;9432 JT;6641373;71644231;62995573,95
1.03%;Reply SpA;REY IM;BZ1DZ96;568353;62715751,63
1.01%;Hitachi Ltd;6501 JP;6429104;2231225;61768957,85
1.01%;Cirrus Logic Inc;CRUS;172755100;421317;61689235,14
1.01%;Koninklijke KPN NV;KPN NA;5956078;12932325;61619687,08
1.00%;Hon Hai Precision Industry Co Ltd;2317 TT;6438564;8011000;60790914,05
0.99%;IonQ Inc;IONQ;46222L108;1174522;60370430,8
0.98%;CoreWeave Inc;CRWV;21873S108;695671;59608569,64
0.97%;Wipro Ltd;WIT;97651M109;31672949;59228414,63
0.94%;ON Semiconductor Corp;ON;682189105;603731;57131064,53
0.94%;ORANGE S.A.;ORA FP;5176177;3195043;57389115,63
0.93%;Alibaba Group Holding Ltd;BABA;01609W102;576467;56488001,33
0.89%;Asustek Computer Inc;2357 TT;6051046;2644316;54498889,89
0.77%;Oracle Corp;ORCL;68389X105;330483;47093827,5
